# Near Earth Asteroid data queried from http://ssd.jpl.nasa.gov/sbdb_query.cgi
# These are the first 1000 NEO Asteroids, numbered and unnumbered.
#name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,class
Eros,1.457916888347732,.2226769029627053,10.82895476993285,304.3357574604486,178.769513069833,1.133272470873435,1.782561305822029,1.7603837561291,17948,0,4986,1,3,11.16,AMO
Albert,2.629584157344544,.551788195302116,11.55339468796233,184.067107644813,155.798992291174,1.178610660768363,4.080557653920726,4.26421225637792,37161,0,1027,,,15.8,AMO
Alinda,2.477642943521562,.5675993715753302,9.359332914427421,110.5532987897813,350.3063000261845,1.071334365790672,3.883951521252452,3.9000150408811,34629,0,794,,,13.76,AMO
Ganymed,2.662242764279804,.5339300994578989,26.69582459773995,215.5542726513045,132.5234975284417,1.240791220366816,4.083694308192792,4.34389866347162,32330,0,3689,0,1,9.45,AMO
Amor,1.918987277620309,.4354863345648127,11.87847964505949,171.3635406356125,26.63232765933576,1.083294542012932,2.754680013227686,2.65837562077174,29457,0,355,,,17.7,AMO
Icarus,1.077941311539208,.826950446001521,22.83012687361951,88.02881678691155,31.34871181361277,.1865372631983954,1.969345359880021,1.11918241254704,23295,0,781,0,11,16.9,APO
Betulia,2.196489260519891,.4876246891992282,52.10335998771047,62.31403103695206,159.4877071316261,1.125426867529437,3.267551653510345,3.255381030926,22871,0,552,5,7,14.52,AMO
Geographos,1.245477192797457,.3355407124897842,13.33725651192151,337.2240528909155,276.8737256571587,.8275688881364217,1.663385497458492,1.38999062457854,22475,0,2944,3,4,15.60,APO
Ivar,1.862724540418448,.3968541470639658,8.448551374147044,133.1623381384101,167.6135971807014,1.123494581715567,2.601954499121328,2.54232551776569,30651,0,3600,1,1,13.2,AMO
Toro,1.367247622946547,.4358829575017499,9.38140941265884,274.3059983327763,127.1215371042906,.7712876854193684,1.963207560473725,1.59874414781152,23787,0,1552,5,2,14.23,APO
Apollo,1.470694262588244,.5598306817483757,6.3550966391574,35.77314341388657,285.781471142914,.6473544909200425,2.294034034256445,1.78357673808048,30063,0,1044,8,9,16.25,APO
Antinous,2.258479598510079,.6070051516585434,18.39999180621781,346.5289150455573,268.0074312316805,.8875708472987422,3.629388349721415,3.39416116418373,23369,0,464,,,15.54,APO
Daedalus,1.460912865705988,.6144629118218898,22.19640839704284,6.685979290823063,325.5590533351339,.5632360923262252,2.358589639085751,1.76581285003594,15419,0,1238,,,14.85,APO
Cerberus,1.079965807367047,.4668134997419173,16.09597861035235,212.9500178632424,325.2299188738959,.5758231892284303,1.584108425505663,1.1223368193997,14539,0,724,,,16.84,APO
Sisyphus,1.893726635847921,.5383319204425762,41.19200390666544,63.5608848163762,293.0516268478321,.8742731391786507,2.913180132517192,2.60605834051634,21366,0,2337,0,1,13.0,APO
Quetzalcoatl,2.544270656955212,.5704591861565643,20.39707332028498,162.9711071933088,347.8042494012359,1.092868088626515,3.995673225283911,4.05838427103811,18842,0,42,0,1,18.97,AMO
Boreas,2.271958775354725,.4499332278634067,12.88645087954361,340.6405327913782,335.8927483061987,1.249729029986781,3.294188520722669,3.42459227377963,21796,0,917,,,14.93,AMO
Cuyo,2.150453953345012,.5041719257675564,23.93405705135879,188.348126125341,194.4156116525865,1.066255442412602,3.234652464277422,3.153576885484,21555,0,1124,0,2,13.9,AMO
Anteros,1.430262719980132,.2558054402785934,8.70628302155747,246.3631658399796,338.3248263178895,1.064393735181556,1.796131704778708,1.71053486456855,14787,0,1701,,,15.75,AMO
Tezcatlipoca,1.709753263222791,.3647772103513082,26.86147130145417,246.6273296080012,115.4258573473643,1.086074237475335,2.333432288970246,2.23567342363594,22638,0,1219,,,13.92,AMO
Midas,1.775954494579457,.6503697243919138,39.83036468246768,356.9327221927063,267.8006248892001,.620927459407235,2.930981529751679,2.36676943846577,14684,0,420,0,1,15.5,APO
Baboquivari,2.646202507670927,.5295611095751231,11.03405705328721,201.0133457687437,191.2588784873902,1.244876571548238,4.047528443793617,4.30469927587542,18064,0,270,,,15.8,AMO
Anza,2.26415089613359,.5371603112900858,3.774145426261156,207.6279918075994,156.4938927611418,1.047938895958744,3.480362896308436,3.40695387043303,19139,0,287,,,16.56,AMO
Aten,.9668828078092987,.1827831025175614,18.93435859368062,108.5818873335019,148.0014445656497,.7901529684270241,1.143612647191573,0.950755747308795,20941,0,350,2,2,16.80,ATE
Bacchus,1.078135348117527,.3495569270441645,9.433606764373607,33.12378442658313,55.28785112950386,.7012656688918738,1.45500502734318,1.11948461652034,13278,0,418,6,5,17.1,APO
Ra-Shalom,.8320425524852308,.4364726062545577,15.75712277362631,170.8404586381408,356.0403980294759,.4688787710873076,1.195206333883154,0.758973318593702,13821,0,1264,4,2,16.05,ATE
Adonis,1.874315684524321,.763949321566,1.331410925829903,349.8728516898929,43.22321858569217,.442433488931453,3.306197880117189,2.56609252404222,28154,0,109,0,5,18.7,APO
Tantalus,1.289997492877751,.2990853014998932,64.00831549612654,94.37298320549749,61.55214177718582,.9041782037863028,1.6758167819692,1.46518175366505,12991,0,476,,,16.2,APO
Aristaeus,1.599511990737142,.5030618532252225,23.05902104541889,191.2393888545035,290.83720960,.7948585244209506,2.404165457053334,2.02297004692167,12851,1,40,,,17.94,APO
Oljato,2.172056090036035,.7125729402616418,2.523422351680069,75.00671422464943,98.19409587634054,.6243076955458522,3.719804484526217,3.20121435971642,29858,0,579,0,5,15.25,APO
Pele,2.291471988746353,.5115484924883255,8.736587558621389,169.9934169608866,217.9621146732711,1.119272947323931,3.463671030168775,3.46880615696208,14857,0,124,,,17.6,AMO
Hephaistos,2.159619960333728,.8374146846143349,11.55389743168237,27.55754730264016,209.3579091268878,.3511224923640368,3.96811742830342,3.17376087094468,12588,0,1925,,,13.87,APO
Orthos,2.404988778495748,.6569133796135244,24.421207397679,169.4542373531511,145.8134513489474,.8251194720815045,3.984858084909992,3.72973334890418,13535,0,405,,,14.9,APO
Hathor,.8442121506103012,.4498204013480316,5.853930899445489,211.4617728650345,40.02360074319215,.4644683021998906,1.223955999020712,0.775685369551439,12884,0,182,,,19.2,ATE
Beltrovata,2.104690977122337,.413731105995413,5.236463804507277,287.5329311366469,42.64543596262607,1.233914851378946,2.975467102865728,3.0534492846533,13006,0,606,,,15.21,AMO
Seneca,2.516402574514213,.5708728441169761,14.67722320993069,167.3724521309034,37.32256004718178,1.079856679858003,3.952948469170423,3.99188832804342,11871,1,52,,,17.52,AMO
Krok,2.152545170235639,.4478259793515817,8.417222691603074,172.227245267562,154.5063389309918,1.188579521276347,3.116510819194931,3.15817806487667,11200,0,638,,,15.6,AMO
Eger,1.404478323548423,.3542971360331806,20.93214754903345,129.800095750092,254.010316306284,.9068756758945337,1.902080971202311,1.66448836382708,11107,0,1937,1,3,15.38,APO
Florence,1.768227407864309,.4227761019048867,22.16241939817335,336.1233947606844,27.72693690123536,1.020663117086054,2.515791698642563,2.35133971419429,12441,0,1523,,,14.2,AMO
Nefertiti,1.574493139339916,.283902719273878,32.96556702721221,340.0281340733184,53.38386038631958,1.127490255603249,2.021496023076583,1.9756925452235,11236,0,1329,0,1,14.84,AMO
Phaethon,1.271195939723604,.8898716672181355,22.24073802133788,265.2651764720937,322.1475481597791,.139994689480836,2.402397189966372,1.43326649233254,10699,0,2516,1,0,14.51,APO
Ul,2.102493486378346,.3951143067760007,25.03208399614821,158.9021025427437,158.9138976855116,1.271768230006909,2.933218742749782,3.04866841074116,10792,0,100,,,16.7,AMO
Seleucus,2.033331705805067,.4559159977082651,5.928029746634722,218.6722246873202,349.2663198854377,1.106303252481101,2.960360159129033,2.89948289649755,11304,0,1102,,,15.3,AMO
McAuliffe,1.878722427225527,.3691521497610656,4.773241329316726,107.3834860610027,15.90365149664433,1.185188004410896,2.572256850040158,2.57514763173445,11894,0,925,,,15.8,AMO
Syrinx,2.469752836845105,.7441934504192601,21.35455835920575,243.8187299015336,62.24389966686461,.6317789515105904,4.30772672217962,3.88140035895754,11445,0,330,,,16.3,APO
Orpheus,1.209727780883745,.3229034563257626,2.684832257853141,189.522305065594,301.6822486579822,.8191024992230886,1.6003530625444,1.3305759932878,11456,0,471,,,19.03,APO
Khufu,.989473784873371,.468479627898914,9.917010044802161,152.454515155609,55.03973730510507,.525925474320164,1.453022095426578,0.984270890113848,7393,0,264,,,18.3,ATE
Verenia,2.093231870619781,.4865133359612604,9.50225760208286,173.8639431509983,193.2252586287179,1.074846650304122,3.111617090935439,3.02854624782919,10874,0,306,,,16.75,AMO
"Don Quixote",4.221712367193639,.7130894892477316,30.96434220959133,350.2971565336181,317.0384927577671,1.211253651520695,7.232171082866584,8.6744343261822,10393,0,618,,,13.0,AMO
Mera,1.644476057737928,.3201425983025733,36.77110110640014,232.5505140257606,288.8739040175698,1.118009219767335,2.170942895708522,2.10886866872295,9672,0,683,,,16.5,AMO
Amun,.9736969370079381,.2804031239933614,23.36099234335528,358.6335296809654,359.3780761385229,.7006692740481452,1.246724599967731,0.960824144761264,9930,0,1538,,,15.87,ATE
Dionysus,2.197742557221753,.5424765066214163,13.55017045016437,82.16251889640321,204.1946590662273,1.005518852326879,3.389966262116629,3.25816766434422,10559,0,456,,,16.3,APO
Bede,1.774167143508969,.2842584562960491,20.35951259744802,348.7803984053641,234.9227244109012,1.269845130083939,2.278489156934,2.36319740153416,13965,0,1050,,,14.9,AMO
Camillo,1.413416015582322,.3017800667388965,55.5566673222024,147.9802516797716,312.2123910570117,.9868752360700633,1.83995679509458,1.68040209509132,13694,0,887,2,4,15.5,APO
Cruithne,.9976932219614822,.5148151946522339,19.80722524402043,126.2466436038069,43.80680713311458,.4840655916941674,1.511320852228797,0.996560650444532,14252,0,558,,,15.1,ATE
,1.834901316423572,.4456607197704381,3.86853778421312,74.98689197656975,17.14307438653361,1.017157875038519,2.652644757808626,2.4855772808004,11114,0,151,0,2,18.95,AMO
Epona,1.50483038110206,.7024245312042212,29.2187199327376,235.5581501207972,49.64145313470375,.447800606114576,2.561860156089545,1.84603328870702,9563,0,545,,,15.5,APO
Nyx,1.927262688257966,.4588981791196934,2.182405599808007,261.4624811788424,126.3262650789683,1.04284534993106,2.811680026584871,2.67559005230523,11875,0,1477,15,1,17.4,AMO
,1.544507065036784,.31657091474817,10.76783149110423,229.8788085238,86.79053285904247,1.055561050623078,2.033453079450489,1.91952181040372,9936,0,420,,,18.2,AMO
Wilson-Harrington,2.640505111150496,.6235178904296235,2.784783674710963,270.4069160437291,91.44242521086038,.9941029345773001,4.286907287723691,4.29080443637206,23262,0,872,,,15.99,APO
Vishnu,1.05958081841486,.4440492694503176,11.16805114002141,157.9699495307805,296.5949998814539,.5890747300741717,1.530086906755548,1.09071009756824,9810,0,469,0,1,18.1,APO
Magellan,1.820746506879225,.3260403836207027,23.24145320985074,164.8794961852784,154.2918791208524,1.227109617300268,2.414383396458181,2.45687143170392,9989,0,1465,,,14.8,AMO
Toutatis,2.533412063966736,.6299478275563548,.4471099393264013,124.3528940579012,278.756115074697,.9374946379658295,4.129329489967642,4.03243108285291,28969,0,5196,29,28,15.30,APO
Cuno,1.982203277556827,.6342552819292663,6.707447147788333,294.9347783773095,236.270885875004,.724980378908906,3.239426176204748,2.79081139221481,19814,0,1351,1,0,14.4,APO
,2.296103374979221,.7719087251939253,12.57486948168838,7.214279480278791,122.3555087807786,.5237211458855411,4.068485604072901,3.47932788449578,21549,0,618,4,2,14.6,APO
Ubasti,1.647025626066556,.4684414652783478,40.71415938148449,169.2285546300374,278.9219388512113,.8754905284409505,2.418560723692162,2.1137749014941,9113,0,629,,,16.2,APO
Poseidon,1.835071515541364,.6796502001228834,11.85495113184312,108.122751605219,15.62645704280611,.5878647927638732,3.082278238318855,2.48592311918402,9543,0,380,,,15.5,APO
Aditi,2.580782110140574,.5649876866272759,26.64686929337388,22.9286034817871,68.13973068359816,1.122671996043191,4.038892224237956,4.14605645682494,9336,0,240,,,15.8,AMO
Pan,1.442209493239712,.5867575432885662,5.519751621994002,311.8617537479026,291.7792827341071,.5959821940789307,2.288436792400494,1.73201132418972,9476,0,621,1,0,17.2,APO
Mithra,2.199609351379063,.6629058979266613,3.039693972682895,82.24903267156564,168.904372322893,.7414753392152442,3.657743363542882,3.26231984752022,9712,0,651,8,9,15.6,APO
Pocahontas,1.730271645914967,.2966663983013685,16.40392059271412,198.1586305736406,173.871165241226,1.216958188638393,2.24358510319154,2.27603868222488,9203,0,395,,,17.1,AMO
Cleobulus,2.707496165195968,.5230837712804178,2.51380576379312,46.04695122080913,76.27542706494035,1.291248860377992,4.123743470013945,4.45512585900218,11857,0,515,,,15.6,AMO
Xanthus,1.041781397558249,.2500565161871627,14.14473759579993,24.02047218106385,333.728995648373,.7812771706562398,1.302285624460258,1.06334232220406,7629,0,805,0,1,17.1,APO
Asclepius,1.022403386401847,.3570672409524803,4.9190471263965,180.3009928112136,255.3011836655296,.6573366300788671,1.387470142724827,1.03381212437004,8910,0,148,2,2,20.4,APO
,2.239831965870906,.5188479498571441,37.09070695151109,154.3056920103978,248.395307627014,1.07769974235429,3.401964189387523,3.35221110057472,11134,0,188,,,16.0,AMO
Nereus,1.488710362782136,.3600155761274042,1.43197313409491,314.4599070925894,158.0021454200925,.9527514438382885,2.024669281725984,1.8164502993992,11571,0,541,16,16,18.2,APO
,2.234605244572203,.5154676745056435,6.378461490104979,241.3483462434361,213.546170507263,1.082738475714455,3.386472013429951,3.34048420680848,11050,0,198,,,19.0,AMO
Castalia,1.063410476977231,.4832721336233446,8.886821218522702,325.6092845289567,121.3417058245843,.5494938268510259,1.577327127103436,1.09662869180653,8773,0,229,8,7,16.9,APO
Ninkasi,1.370023621734414,.168423433460841,15.6513995070203,215.4738934955211,192.8626781842146,1.139279539439448,1.600767704029381,1.60361564700056,12692,0,364,,,18.7,AMO
,1.621200944040753,.6574960091339873,24.39070614324923,77.75748918818292,77.71603590713757,.5552677933297052,2.687134094751801,2.06425561315129,14285,0,159,0,2,14.1,APO
Eric,2.001511199755337,.4487905025453397,17.44653991152143,358.5319427156715,52.45288335883377,1.103251982567014,2.899770416943661,2.83168694891326,13604,0,1880,,,12.6,AMO
Brucemurray,1.565524778355997,.2189101353712052,35.01102333707994,254.9297475241931,97.43950452872625,1.22281553719911,1.908234019512885,1.95883619835164,13688,0,363,,,15.1,AMO
Ptah,1.635685258780971,.5000326928687414,7.406898248394252,10.8003920542551,105.7112167532056,.817789154147018,2.453581363414925,2.09198136622733,19010,0,547,,,17.1,APO
,1.486094419196291,.5692931251444548,36.42591750791858,110.3976120739818,135.832199353608,.640071083032301,2.332117755360281,1.81166463699403,12510,0,726,,,14.1,APO
Heracles,1.833405217036748,.7722048637154062,9.035483322842644,309.5672808713712,227.7068550379724,.4176407912797713,3.249169642793725,2.4825379517925,21827,0,1658,,,14.0,APO
,1.551261281399375,.4783634008757182,3.582346433351308,135.3489293291416,159.5816259763316,.8091946591823456,2.293327903616405,1.93212683140567,8183,0,148,0,1,17.3,APO
Lyapunov,2.965651098806816,.6137116019449818,19.4832063581948,353.0337332819486,320.2485718403844,1.14559661214819,4.785705585465442,5.1072637505298,8984,0,175,,,15.2,AMO
Davidaguilar,2.163641134116541,.4566956689094635,25.47124597024668,142.9352976582318,305.8032487920241,1.175515599091157,3.151766669141925,3.18262922498401,14507,0,822,,,13.9,AMO
Taranis,3.332240647917204,.6340823034427031,19.09019021518763,177.8435649071943,161.1978885015638,1.219325822260458,5.44515547357395,6.08292888109961,9625,0,224,,,15.7,AMO
Sekhmet,.9474640477348976,.2962444228330216,48.96926889342737,58.55035674149428,37.429229244414,.6667831077586344,1.228144987711161,0.92225774534838,8080,0,198,,,16.5,ATE
,2.434539071198394,.6363387625262219,68.00952714529825,101.0741192047555,118.0603859679868,.8853474913102702,3.983730651086518,3.79868538142632,13865,0,195,,,15.3,APO
,2.395405484828397,.5463526724376824,18.08288677510437,190.3206092085828,86.39254192139592,1.08666929662052,3.704141673036274,3.70746245535187,21581,0,2445,,,13.6,AMO
,.9855530490690306,.2794768129652611,14.18623468381352,216.3174195495866,34.47186728466232,.7101138239070223,1.260992274231039,0.978426509773613,2218,2,67,,,19.7,ATE
,.9269194199452705,.4052308185383235,4.793983479909086,311.9283638487978,82.48823667932599,.5513031046817805,1.302535735208761,0.89242386184896,9865,0,334,3,0,16.4,ATE
Jasonwheeler,2.159576782297354,.4230910440446921,7.861774720988423,128.7391746810866,153.5251408037533,1.24587918678049,3.073274377814219,3.17366569025556,20858,0,372,,,17.0,AMO
,2.19468263029249,.4543400536930818,3.854613045176364,173.2785929385617,231.42349388,1.197550406206126,3.191814854378854,3.25136549097048,15369,0,1727,,,14.7,AMO
,1.355060343922689,.3873885179287885,13.50843778729817,45.78481830033574,48.15187650228005,.8301255255864044,1.879995162258974,1.57741568862799,14175,0,511,,,17.0,APO
,2.142401304363021,.436899969060442,7.91327255443156,14.14526085450612,335.6877689244754,1.206386240771766,3.078416367954276,3.13588002239248,8319,0,1028,,,14.3,AMO
Camarillo,1.79410476082583,.3042114938197653,6.873814630903051,9.989124591821771,122.4702867389826,1.248317471465852,2.339892050185809,2.40314458136516,14406,0,1156,,,15.4,AMO
,1.785580114001467,.7623704383547951,38.06708033175664,302.2973867528056,126.914942163726,.4243066197725636,3.146853608230371,2.38603721506733,14128,0,162,1,1,15.7,APO
,1.271126141555595,.585090390303887,5.055609348415667,97.10127144358235,258.8150320958313,.5274024512673579,2.014849831843831,1.43314844837205,10685,0,805,,,17.0,APO
Zeus,2.263427685426989,.6536108417753328,11.43141691411842,281.7139987028892,216.9684662107916,.7840268106574617,3.742828560196517,3.40532163685318,8840,0,389,,,15.8,APO
Zao,2.102948280699849,.4236187234923667,16.07456600413888,121.6978729065831,25.19945974500301,1.212100014459311,2.993796546940386,3.04965765903205,8669,0,1050,,,14.8,AMO
Talos,1.081470434901635,.8267707956325031,23.22982309483745,161.3159375465021,8.340033814008068,.187342262984981,1.975598606818288,1.12468312552556,6969,0,599,,,17.0,APO
Bivoj,1.893556201884785,.4442671604024913,4.188347161494298,299.007921800803,168.4134283901966,1.052311365010905,2.734801038758665,2.60570653351655,11231,0,304,,,19.1,AMO
,1.697467715950855,.6957606642787291,30.10976426325922,125.4667133277196,152.7003873444112,.5164364503091911,2.878498981592518,2.21161989001338,11113,0,418,,,16.3,APO
,2.447434333268429,.5328978966375054,7.969518027066195,239.6235389948491,76.90764712615092,1.143201724911268,3.75166694162559,3.82890661688557,11644,0,838,,,13.9,AMO
Tara,2.220613065787294,.5073088959696616,19.47255808984217,169.029532820905,115.3304151510625,1.094076303006937,3.347149828567653,3.30915826581183,10755,0,392,,,15.5,AMO
Tanith,1.812126602516927,.3211940225865785,17.93072198294448,227.932075697455,230.7120675928462,1.230082369618365,2.394170835415489,2.43944486137117,12887,0,414,,,17.0,AMO
Almeria,1.624710611660337,.2892521194243603,21.57416592657463,145.8753700218631,355.6670688178211,1.154759623786336,2.094661599534338,2.07096246591349,7838,0,109,,,17.9,AMO
,1.271131002012817,.4996653521633607,3.49751933821382,182.591928821031,241.9870488170943,.6359908822463172,1.906271121779316,1.43315666836276,9275,0,377,4,4,18.7,APO
,1.454456870491388,.3521622765810334,23.47169872185873,6.13735232249447,103.7389899000499,.9422520277902152,1.96666171319256,1.75412069958392,10263,0,485,,,17.0,APO
Miwablock,2.203287879394205,.4356441550957392,6.404716318211495,88.3914193362194,284.701969144023,1.243438392742833,3.163137366045576,3.27050690412469,22005,0,880,,,15.4,AMO
,2.147777423484374,.5283340858428522,21.58565412192523,318.3729674666407,74.86783431402854,1.013033401853841,3.282521445114908,3.14769114045502,13512,0,374,,,15.1,APO
Jason,2.212667428139149,.7664752723085935,4.920790955157149,169.5132769009912,337.0096769441897,.5167125586278396,3.908622297650459,3.29141327552246,19308,0,307,,,15.3,APO
,2.821720524867869,.5818762577150969,4.306202101551998,64.68791632568151,127.297828319769,1.179828345539875,4.463612704195864,4.74000934663987,12104,0,321,1,1,15.1,AMO
Minos,1.15163404658304,.4127559620446876,3.944828232110702,344.6267386722953,239.6772026068217,.6762902277622406,1.626977865403839,1.23589036330644,10157,0,578,3,0,17.9,APO
,2.241306940841618,.5721166579591508,37.33353174817164,27.10702689441237,262.6408137310319,.9590179043866633,3.523595977296572,3.35552289457811,8566,0,992,,,13.8,APO
Golombek,2.193603877862196,.4089622044751809,8.223664083693592,313.6279246226871,347.0960557836724,1.296502800226367,3.090704955498026,3.24896856987966,12186,0,545,,,15.9,AMO
Golevka,2.511135863955208,.6018152859634067,2.28517930468465,212.0832569760337,65.34530103299359,.999895915896038,4.022375812014378,3.9793626398885,7503,0,984,20,20,19.2,APO
,2.505904835270691,.5908955141266005,5.930408726202395,301.9777806352132,323.344554067183,1.025176909281082,3.9866327612603,3.96693480835868,7500,0,175,,,18.5,AMO
Ondaatje,1.626067407521835,.2209757857199285,22.64286815406579,111.5069125047695,167.2944087464726,1.26674588451113,1.985388930532539,2.07355719863012,10634,0,493,,,16.5,AMO
,1.696014517268076,.4845340845579571,8.696450522940854,230.9836622296425,281.2931246397022,.8742376757465834,2.517791358789569,2.2087804529587,10876,0,569,,,16.5,APO
,1.475952892701915,.3151822707225403,12.60632002460567,146.6520357094545,323.3841013895128,1.010758708500624,1.941147076903207,1.79315134817395,7319,0,332,3,0,18.3,APO
Ishtar,1.980727134779148,.3906843031201028,8.300899772269789,102.6867237181666,354.7070870883919,1.206888134456878,2.754566135101417,2.78769450526831,11870,0,421,,,16.7,AMO
