#a,e,i,H,diameter,BV,UB
2.766807266312202,.07579725984872261,10.59398142371781,3.34,952.4,.713,.426
2.77243388008233,.2315650120848084,34.83625656930519,4.13,545,.635,.284
2.670305369301265,.2552871218520899,12.98057939696183,5.33,233.92,.824,.433
2.361384046057617,.08850244223456388,7.140518203879475,3.20,530,.782,.492
2.574572147072423,.1908722969491434,5.36779542174721,6.85,119.07,.826,.411
2.425872528920603,.2016517702062542,14.74725526637688,5.71,185.18,.822,.399
2.385938786110496,.2304304312235702,5.524431282936889,5.51,199.83,.855,.484
2.201475471680092,.156154074987186,5.888045896941382,6.49,135.89,.885,.489
2.385715290112316,.1225868108721748,5.575221779083537,6.28,190,.858,.496
3.137168450060269,.1159723176579282,3.841903511878627,5.43,407.12,.696,.351
2.454403551973671,.09898011030559384,4.627441145732853,6.55,153.33,.837,.417
2.333469609894158,.2213300779016669,8.369222537069199,7.24,112.77,.874,.515
2.576241207350149,.08386426481203857,16.54066400097641,6.74,207.64,.745,.452
2.586548455319039,.1658632162111448,9.118921552136449,6.30,152,.833,.388
2.643134278015707,.187805981282942,11.73883031236341,5.28,255.33,.839,.451
2.922996366305594,.136599750394335,3.098485634771914,5.90,253.16,.729,.299
2.470581058859886,.1336225851986567,5.588679744766165,7.76,90.04,.829,.438
2.296313306065313,.2183962536866207,10.12860986853891,6.51,140.57,.854,.425
2.442896947131114,.1582156685851651,1.573118743563422,7.13,200,.719,.324
2.408598041772483,.1427008833330159,.7082000748360643,6.50,145.50,.854,.463
2.434358400217847,.1644593151944884,3.06386580932627,7.35,95.76,.686,.189
2.909884222832378,.1000664447715994,13.71829557443129,6.45,181.00,.715,.234
2.625198871992072,.2352658730612419,10.11461783332013,6.95,107.53,.859,.442
3.135490469093551,.1261057034240388,.7522882165652164,7.08,198,.684,.336
2.399754916779591,.2557568830741329,21.59105465668688,7.83,75.13,.932,.513
2.655057865459285,.09014144289037083,3.563708041102571,7.50,94.80,.891,.525
2.346961738546697,.1723996298103732,1.583772178270548,7.0,96,.878,.502
2.776182989541459,.1512330922005777,9.432395635676784,7.09,120.90,.845,.469
2.554574993203652,.07240403633302374,6.089566377413809,5.85,212.22,.838,.449
2.365573788819709,.1269824481746648,2.098011372984284,7.53,100.15,.873,.459
3.153997684463232,.2222492255053572,26.31404703012219,6.74,255.90,.687,.317
2.589143880180853,.08068015050179694,5.523721738287404,7.56,80.76,.857,.429
2.867772715109267,.336856161445171,1.868783794465353,8.55,,.848,.438
2.686984573908592,.1044867198705124,5.498250714291267,8.51,113.54,.707,.357
2.990267890189253,.2271121113177489,7.93518816061798,8.50,103.11,.703,.335
2.749299888442948,.3023493717562897,18.42455699285578,8.46,105.61,.713,.363
2.643520244896212,.1736431637217307,3.072350702123983,7.29,108.35,.843,.414
2.738610753620269,.1550377644399037,6.974782796368279,8.32,115.93,.726,.419
2.768436335881993,.1141372750794099,10.37996981683405,6.10,149.52,.898,.494
2.267312421636532,.04695284674573944,4.257751267775894,7.00,107.62,.854,.432
2.761123209610865,.2750414536419029,15.79156993572449,7.12,174.00,.726,.363
2.441779526178998,.2223071974538921,8.526894917589956,7.53,100.20,.874,.462
2.202881655172364,.1685474642769627,3.47053944622863,7.93,65.88,.863,.490
2.422875562525452,.148469880711335,3.706356637791913,7.03,70.64,.703,.245
2.719732409011007,.08298672835076973,6.60356310707335,7.46,214.63,.676,.274
2.525771383876477,.1719936679815509,2.344325776762104,8.36,124.14,.692,.226
2.879969042157235,.1331425526016993,4.982678334139604,7.84,126.96,.665,.300
3.109461781796659,.07384244122075422,6.54750514380245,6.90,221.80,.716,.442
3.093880384726902,.2277411848315738,3.173962200399111,7.80,149.80,.749,.411
2.652535545482698,.2844366215279119,2.833388592341755,9.24,99.82,.703,.347
2.366159154654839,.06754298632397297,9.975758868927317,7.35,147.86,.789,.482
3.095592827714733,.1075294694383327,7.482827054417002,6.31,302.50,.679,.338
2.616639409059261,.2061576015214478,5.170141035844653,8.81,115.38,.705,.318
2.710033250209131,.1982137074579729,11.80149046942478,7.66,165.75,.727,.357
2.760601346821235,.1426125934434373,7.184924549657469,7.80,66.70,.704,.242
2.599318497286987,.2366255520150719,8.062293695944218,8.31,113.24,.697,.312
3.150682701688969,.1149596507164965,15.21846653955444,7.03,112.59,.817,.410
2.699197395481439,.04468947278407032,5.060869237975973,8.86,93.43,.690,.370
2.714716902968709,.1185621937776629,8.633814964189959,7.93,164.80,.662,.285
2.392515127657552,.1838455802515434,3.601239164184858,8.21,60.20,.854,.452
2.982352770155417,.1675175338311427,18.21164897332962,7.68,82.04,.852,.402
3.128728577463699,.1715559423216826,2.229789838512886,8.76,95.39,.708,.378
2.394911509503953,.127611735405472,5.779839758025318,7.55,103.14,.916,.500
2.681543873011575,.1268319165251641,1.310185977618696,7.67,,.734,.254
3.426530471935774,.1102640199746819,3.562633507649951,6.62,237.26,.690,.271
2.647023815393456,.1706750673120973,3.046435265004146,9.36,71.82,.697,.360
2.422926919573759,.1839934037291771,6.025073630696377,8.28,58.11,.861,.434
2.780035604842086,.187357606610918,7.973359312479402,6.78,122.57,.845,.488
2.975681667747895,.1700584006701017,8.585765814473824,7.05,138.13,.674,.230
2.615258036039295,.1822573455675493,11.59063255547806,8.11,122.17,.740,.390
2.754692791631669,.1750960119070407,23.26252306853082,7.30,83.42,.803,.439
2.267390061033113,.1201479444972075,5.414933783640819,8.94,85.90,.785,.375
2.665216005530967,.04412751078144169,2.370454337520545,9.00,44.44,,
2.777413117528101,.2402996552305326,4.078184441177256,8.66,118.71,.686,.320
2.671282540015133,.3057594217504399,5.00185509197721,8.96,55.91,.710,.266
3.413843139164082,.1648883147552105,2.117578728091357,7.90,183.66,.704,.298
2.669705877027983,.1308908482071689,2.42907245112565,8.52,69.25,.746,.249
2.619342736070859,.2073351750751588,8.703894145512542,8.09,120.60,.713,.380
2.444508349385333,.1916788861722882,4.617462762917709,7.96,66.47,.874,.421
2.295739739661194,.2002572722996375,8.665128835807524,7.98,78.39,.901,.523
2.855917182816638,.2073231332822596,7.800760871329447,8.48,119.08,.701,.346
2.765396840065843,.218526086719821,2.828720972147315,8.40,60.96,.814,.380
2.432321644268886,.08154598695178762,4.963804936630254,8.66,81.37,.704,.266
2.361940923684433,.2367043625182134,9.330690776227096,9.32,79.16,.733,.445
2.656302246718997,.1919186566359196,11.94728775182559,7.61,154.79,.668,.294
3.11124406070781,.208875315018894,4.822689622989974,8.54,120.56,.703,.321
3.485009248461758,.09021619145250225,10.87868888207246,6.94,260.94,.710,.251
2.768416254454332,.1644327172342669,5.21468785760509,7.04,232,.681,.305
2.550592176292326,.1825797217461377,16.13879928015266,6.60,151.46,.859,.442
3.159602879773751,.1614972453668816,2.209409806607303,8.27,120.07,.688,.317
2.589512576327246,.1070495208976953,2.106837069541714,8.84,109.81,.724,.317
3.185396202518678,.1039322499914691,9.930917845695737,6.61,126.42,.725,.275
2.754673678272154,.1412827510771227,8.559959681043564,7.70,141.55,.685,.315
3.157758690630716,.08926098213599641,7.966062086549641,7.57,204.89,.663,.301
3.067901713063705,.1521549480759248,12.99649414857162,7.84,136.04,.711,.374
3.052594508507406,.1387275383484718,15.96688373861077,7.67,170.02,.775,.337
2.671136920502451,.2547182781150329,11.78168244485749,7.63,82.83,.716,.226
